n_bbox_width,n_bbox_height,AnchorBox#,width_mul,height_mul
0.2214765100671141,0.13617021276595745,5,0.03968408818852347,0.025809940133385192
0.38671875,0.5789473684210527,4,0.15343225266148047,0.3081698946860793
0.4466257668711656,0.2450657894736842,1,0.16474263623355406,0.05861524959016376
0.35697399527186763,0.24361158432708688,1,0.13167363240123095,0.0582674303461715
0.27373612823674476,0.30697674418604654,3,0.15606849225249,0.08855025733052187
0.08088235294117647,0.32429906542056075,2,0.01614389413321122,0.1349309206165434
0.23711340206185566,0.4451219512195122,2,0.047327179801953785,0.1852016273521861
0.575107296137339,0.19710669077757687,3,0.32789288417908014,0.056857232739897526
0.3865414710485133,0.16639741518578352,1,0.1425799084549846,0.03979921490967696
0.3711340206185567,0.32669322709163345,1,0.13689670746268484,0.07813903803757331
0.5217391304347826,0.49429657794676807,4,0.20700214324816338,0.2631108330019412
0.8668555240793201,0.07032181168057211,3,0.49423083286541913,0.0202849715432815
0.07196969696969698,0.4095238095238095,2,0.014364952630928992,0.17039032956133285
0.3324175824175824,0.20122699386503068,1,0.12261573988778479,0.0481298123863335
0.37589376915219613,0.6781376518218624,4,0.14913739704225867,0.36096823328614186
0.3966597077244259,0.11764705882352941,4,0.15737636847503025,0.06262275934797333
0.27398444252376836,0.3409893992932862,2,0.054686537587098454,0.14187525797355616
0.11901081916537867,0.22310756972111553,5,0.021324319412998442,0.042288198724520554
0.32669789227166274,0.39979013641133265,2,0.06520799648611522,0.1663404459381908
0.38264738598442716,0.45125348189415043,4,0.15181692226357701,0.2401992747135356
0.3308519437551696,0.38689866939611056,2,0.06603713368273482,0.16097670087094573
0.2975970425138632,0.347906976744186,2,0.05939954729302518,0.14475345033798898
0.603125,0.34993924665856624,3,0.34386695682483803,0.10094318520390871
0.2554945054945055,0.1276127612761276,5,0.045779421414283185,0.024187945820822343
0.6672354948805461,0.31133113311331134,3,0.3804190493017006,0.08980632075333538
0.12480252764612954,0.07027818448023426,5,0.022362075832596567,0.013320649922427936
0.315004659832246,0.18421052631578946,5,0.05644243128443104,0.03491558513110085
0.18514851485148515,0.44221105527638194,2,0.036955131916816174,0.18399049259632064
0.3158620689655172,0.36254107338444685,2,0.06304519609839877,0.15084225028411632
0.21691176470588236,0.12205270457697642,5,0.03886617861690172,0.02313408295589484
0.47116564417177914,0.09370199692780339,1,0.1737944294331999,0.022411801944349878
0.23395853899308983,0.2745314222712238,5,0.041920614023791596,0.05203516561828261
0.20874751491053678,0.3798358733880422,2,0.04166542711408932,0.15803808750719878
0.4684931506849315,0.3020304568527919,3,0.26710767091284177,0.08712345538384102
0.7450980392156863,0.2589792060491493,3,0.4248117641968943,0.07470492724037696
0.6624472573839663,0.25718608169440244,3,0.3776890734981715,0.07418768407441834
0.40821566110397944,0.12480499219968799,1,0.15057466261567454,0.02985106890518763
0.24010554089709762,0.11366711772665765,5,0.04302203180204603,0.02154466416749931
0.3993933265925177,0.1757754800590842,4,0.15846094299035762,0.09356413748962338
0.1859582542694497,0.1875,5,0.03331993880333619,0.03553907772272766
0.42455242966751916,0.3694390715667311,4,0.1684429204862506,0.19664999961592786
0.5314207650273224,0.42016806722689076,2,0.10607011614796402,0.1748190795772909
0.3932135728542914,0.6066666666666667,4,0.15600910030895349,0.3229246957043825
0.09844559585492228,0.16572077185017026,5,0.017639449468002815,0.03141100475228596
0.4950911640953717,0.5095652173913043,4,0.196429453136026,0.2712382298367436
0.47832817337461303,0.2859744990892532,3,0.27271503144772924,0.08249196710801363
0.5505780346820809,0.09494451294697903,3,0.3139077194291851,0.027387615553315946
0.7671957671957672,0.2348804500703235,1,0.28298827020321315,0.05617910290248981
0.19518072289156627,0.1638755980861244,5,0.0349724176960416,0.031061267291953357
0.4118773946360153,0.6327212020033389,4,0.16341404826982245,0.33679335432303187
0.07711757269279393,0.262987012987013,1,0.028445632043008366,0.06290167810983145
0.2820773930753564,0.5400763358778626,4,0.11191536444620237,0.28747909849532416
0.3407707910750507,0.0962800875273523,1,0.12569690921861124,0.023028434009899124
0.1725067385444744,0.23376623376623376,5,0.030909700642469968,0.04430846053742669
0.2861788617886179,0.31256281407035175,1,0.10556009890708924,0.07475930197635752
0.13443396226415094,0.423444976076555,2,0.026832647367206985,0.1761825011070085
0.3302919708029197,0.3106145251396648,1,0.1218316855698681,0.07429330693808137
0.3875878220140515,0.26705653021442494,1,0.1429658660715724,0.0638750321161516
0.5412587412587413,0.2306501547987616,1,0.19964900938002048,0.05516729373191883
0.30030959752321984,0.43799472295514513,2,0.05994096577689908,0.182236205697615
0.36767676767676766,0.40813953488372096,1,0.13562146316196622,0.09761950354719579
0.16905444126074498,0.453551912568306,2,0.033742799303174476,0.18870907639179257
0.2397003745318352,0.10182370820668693,5,0.042949434226053775,0.019299843626526873
0.4116331096196868,0.2124756335282651,1,0.1518352246329853,0.050820281026719163
0.179519595448799,0.4897959183673469,5,0.03216626203473852,0.0928367744593702
0.4171779141104294,0.28059701492537314,3,0.23785069393523237,0.080940782480771
0.30054151624548736,0.3601003764115433,2,0.05998725611296929,0.14982675093609074
0.22556390977443608,0.10239651416122005,5,0.04041646712296648,0.019408414268330572
0.4781297134238311,0.2871046228710462,3,0.2726018810737156,0.082817961677923
0.2583941605839416,0.2446351931330472,1,0.09531141810327802,0.05851225882987342
0.2970922882427307,0.4314868804664723,2,0.05929879973536726,0.17952849151692404
